Exam_ID,Class_ID,Date_Administered,Materials_Allowed
1,144,9/26/2019,Calculator
2,288,9/27/2019,"Equation Sheet, Calculator"
3,16,9/30/2019,
4,170,10/2/2019,Equation Sheet
5,298,10/10/2019,Open Notes
6,90,10/11/2019,
7,222,10/11/2019,
8,201,10/14/2019,Calculator
9,201,10/15/2019,"Equation Sheet, Calculator"
10,119,10/15/2019,
11,251,10/15/2019,
12,129,10/16/2019,Equation Sheet
13,310,10/16/2019,
14,73,10/18/2019,
15,26,10/21/2019,Calculator
16,15,10/22/2019,
17,135,10/23/2019,
18,16,10/23/2019,Equation Sheet
19,85,10/24/2019,
20,33,10/29/2019,
21,134,10/29/2019,"Equation Sheet, Protactor"
22,280,10/29/2019,
23,274,10/30/2019,"Equation Sheet, Calculator"
24,242,11/1/2019,
25,78,11/1/2019,
26,194,11/1/2019,"Equation Sheet, Calculator"
27,264,11/4/2019,Equation Sheet
28,95,11/4/2019,
29,225,11/5/2019,
30,22,11/6/2019,Calculator
31,270,11/6/2019,
32,143,11/8/2019,
33,249,11/8/2019,"Equation Sheet, Protactor"
34,205,11/8/2019,
35,239,11/11/2019,
36,110,11/11/2019,Equation Sheet
37,258,11/11/2019,Calculator
38,282,11/11/2019,Open Notes
39,264,11/13/2019,"Equation Sheet, Calculator"
40,42,11/13/2019,
41,205,11/13/2019,
42,180,11/15/2019,
43,99,11/15/2019,
44,41,11/15/2019,Equation Sheet
45,345,11/18/2019,Calculator
46,180,11/18/2019,Calculator
47,111,11/19/2019,
48,268,11/20/2019,
49,127,11/21/2019,"Equation Sheet, Calculator"
50,154,11/22/2019,
51,162,11/22/2019,
52,72,12/2/2019,Equation Sheet
53,311,12/2/2019,Open Notes
54,241,12/3/2019,Equation Sheet
55,83,12/3/2019,
56,122,12/3/2019,Calculator
57,206,12/4/2019,"Equation Sheet, Calculator"
58,99,12/4/2019,
59,324,12/4/2019,
60,132,12/4/2019,"Equation Sheet, Protactor"
61,1,12/4/2019,
62,79,12/4/2019,
63,25,12/4/2019,Calculator
64,27,12/4/2019,Equation Sheet
65,307,12/5/2019,
66,304,12/5/2019,
67,247,12/6/2019,
68,105,12/6/2019,
69,4,12/6/2019,"Equation Sheet, Calculator"
70,285,12/8/2019,
71,161,12/8/2019,Open Notes
72,320,12/8/2019,Equation Sheet
73,178,12/8/2019,Calculator
74,207,12/8/2019,
75,304,12/9/2019,
76,199,12/9/2019,Calculator
77,251,12/9/2019,
78,146,12/9/2019,
79,279,12/9/2019,
80,16,12/9/2019,Equation Sheet
81,178,12/9/2019,Calculator
82,45,12/9/2019,"Equation Sheet, Calculator"
83,109,12/10/2019,
84,215,12/11/2019,
85,74,12/11/2019,"Equation Sheet, Protactor"
86,331,12/11/2019,Equation Sheet
87,261,12/11/2019,Calculator
88,103,12/12/2019,
89,342,12/12/2019,
90,137,12/12/2019,"Equation Sheet, Calculator"
91,31,12/12/2019,Equation Sheet
92,39,12/12/2019,
93,230,12/12/2019,
94,97,12/12/2019,Calculator
95,338,12/12/2019,Calculator
96,320,12/13/2019,
97,161,12/13/2019,"Equation Sheet, Calculator"
98,307,12/13/2019,
99,212,12/13/2019,Equation Sheet
100,278,12/13/2019,Calculator
